stamp,decode,file,overall_decode_tps,decode_tps_first,decode_tps_last,decode_drop_pct,final_ctx
2026-07-15_20-57-38,fast,profile_2026-07-15_20-57-38_fast.txt,13.844,20.362,11.576,43.15,451
2026-07-16_01-55-03,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_01-55-03_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,11.083,19.059,8.089,57.56,450
2026-07-16_02-04-56,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_02-04-56_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,17.831,26.361,14.128,46.41,450
2026-07-16_02-07-39,Qwen2.5-3B-Instruct-Q4_K_M,fastv2,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_02-07-39_Qwen2.5-3B-Instruct-Q4_K_M_fastv2.txt,13.139,20.758,10.666,48.62,450
2026-07-16_02-19-17,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_02-19-17_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,18.665,26.469,15.656,40.85,450
2026-07-16_02-26-43,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_02-26-43_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,27.020,32.857,23.037,29.89,451
2026-07-16_03-29-59,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_03-29-59_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,37.849,37.849,37.849,0.00,160
2026-07-16_05-35-04,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_05-35-04_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,13.730,26.475,9.354,64.67,459
2026-07-16_05-47-06,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_05-47-06_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,34.986,30.315,35.734,-17.88,459
2026-07-16_14-54-08,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_14-54-08_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,31.856,37.649,29.756,20.97,459
2026-07-16_14-56-56,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_14-56-56_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,21.819,28.404,16.442,42.11,459
2026-07-16_14-57-49,Qwen2.5-3B-Instruct-Q4_K_M,flash,"NVIDIA GeForce RTX 3050 Ti Laptop GPU",8.6,sm_86,profile_2026-07-16_14-57-49_Qwen2.5-3B-Instruct-Q4_K_M_flash.txt,10.129,15.446,9.384,39.25,459
